userbook_id	user_id	book_id	gr_shelf_id	gr_shelf_name	status	source	rating
1	1	1	53719321	read	read	goodreads	4
2	1	2	53719321	read	read	goodreads	1
3	1	3	53719321	read	read	goodreads	4
4	1	4	53719321	read	read	goodreads	2
5	1	5	53719321	read	read	goodreads	3
6	1	6	53719321	read	read	goodreads	2
7	1	7	53719321	read	read	goodreads	4
8	1	8	53719321	read	read	goodreads	1
9	1	9	53719321	read	read	goodreads	4
10	1	10	53719321	read	read	goodreads	5
11	1	11	53719321	read	read	goodreads	1
12	1	12	53719321	read	read	goodreads	2
13	1	13	53719321	read	read	goodreads	4
14	1	14	53719321	read	read	goodreads	4
15	1	15	53719321	read	read	goodreads	4
16	1	16	53719321	read	read	goodreads	2
17	1	17	53719321	read	read	goodreads	3
18	1	18	53719321	read	read	goodreads	2
19	1	19	53719321	read	read	goodreads	4
20	1	20	53719321	read	read	goodreads	4
21	1	21	53719321	read	read	goodreads	4
22	1	22	53719321	read	read	goodreads	5
23	1	23	53719321	read	read	goodreads	5
24	1	24	53719321	read	read	goodreads	3
25	1	25	53719321	read	read	goodreads	2
26	1	26	53719321	read	read	goodreads	5
27	1	27	53719321	read	read	goodreads	5
28	1	28	53719321	read	read	goodreads	3
29	1	29	53719321	read	read	goodreads	5
30	1	30	53719321	read	read	goodreads	4
31	1	31	53719321	read	read	goodreads	4
32	1	32	53719321	read	read	goodreads	3
33	1	33	53719321	read	read	goodreads	5
34	1	34	53719321	read	read	goodreads	4
35	1	35	53719321	read	read	goodreads	4
36	1	36	53719321	read	read	goodreads	4
37	1	37	53719321	read	read	goodreads	4
38	1	38	53719321	read	read	goodreads	4
39	1	39	53719321	read	read	goodreads	3
40	1	40	53719321	read	read	goodreads	4
41	1	41	53719321	read	read	goodreads	4
42	1	42	53719321	read	read	goodreads	4
43	1	43	53719321	read	read	goodreads	5
44	1	44	53719321	read	read	goodreads	5
45	1	45	53719321	read	read	goodreads	2
46	1	46	53719321	read	read	goodreads	4
47	1	47	53719321	read	read	goodreads	4
48	1	48	53719321	read	read	goodreads	3
49	1	49	53719321	read	read	goodreads	5
50	1	50	53719321	read	read	goodreads	5
51	1	51	53719321	read	read	goodreads	5
52	1	52	53719321	read	read	goodreads	4
53	1	53	53719321	read	read	goodreads	4
54	1	54	53719321	read	read	goodreads	3
55	1	55	53719321	read	read	goodreads	3
56	1	56	53719321	read	read	goodreads	5
57	1	57	53719321	read	read	goodreads	4
58	1	58	53719321	read	read	goodreads	5
59	1	59	53719321	read	read	goodreads	3
60	1	60	53719321	read	read	goodreads	5
61	1	61	53719321	read	read	goodreads	4
62	1	62	53719321	read	read	goodreads	3
63	1	63	53719321	read	read	goodreads	4
64	1	64	53719321	read	read	goodreads	5
65	1	65	53719321	read	read	goodreads	4
66	1	66	53719321	read	read	goodreads	3
67	1	67	53719321	read	read	goodreads	4
68	1	68	53719321	read	read	goodreads	4
69	1	69	53719321	read	read	goodreads	4
70	1	70	53719321	read	read	goodreads	4
71	1	71	53719321	read	read	goodreads	4
72	1	72	53719321	read	read	goodreads	2
73	1	73	53719321	read	read	goodreads	4
74	1	74	53719321	read	read	goodreads	5
75	1	75	53719321	read	read	goodreads	3
76	1	76	53719321	read	read	goodreads	3
77	1	77	53719321	read	read	goodreads	5
78	1	78	53719321	read	read	goodreads	2
79	1	79	53719321	read	read	goodreads	5
80	1	80	53719321	read	read	goodreads	4
81	1	81	53719321	read	read	goodreads	2
82	1	82	53719321	read	read	goodreads	3
83	1	83	53719321	read	read	goodreads	5
84	1	84	53719321	read	read	goodreads	4
85	1	85	53719321	read	read	goodreads	4
86	1	86	53719321	read	read	goodreads	1
87	1	87	53719321	read	read	goodreads	3
88	1	88	53719321	read	read	goodreads	5
89	1	89	53719321	read	read	goodreads	5
90	1	90	53719321	read	read	goodreads	5
91	1	91	53719321	read	read	goodreads	2
92	1	92	53719321	read	read	goodreads	5
93	1	93	53719321	read	read	goodreads	5
94	1	94	53719321	read	read	goodreads	2
95	1	95	53719321	read	read	goodreads	5
96	1	96	53719321	read	read	goodreads	4
97	1	97	53719321	read	read	goodreads	5
98	1	98	53719321	read	read	goodreads	2
99	1	99	53719321	read	read	goodreads	1
100	1	100	53719321	read	read	goodreads	5
101	1	101	53719321	read	read	goodreads	4
102	1	102	53719321	read	read	goodreads	3
103	1	103	53719321	read	read	goodreads	4
104	1	104	53719321	read	read	goodreads	4
105	1	105	53719321	read	read	goodreads	5
106	1	106	53719321	read	read	goodreads	4
107	1	107	53719321	read	read	goodreads	3
108	1	108	53719321	read	read	goodreads	4
109	1	109	53719321	read	read	goodreads	4
110	1	110	53719321	read	read	goodreads	5
111	1	111	53719321	read	read	goodreads	5
112	1	112	53719321	read	read	goodreads	2
113	1	113	53719321	read	read	goodreads	4
114	1	114	53719321	read	read	goodreads	5
115	1	115	53719321	read	read	goodreads	3
116	1	116	53719321	read	read	goodreads	4
117	1	117	53719321	read	read	goodreads	5
118	1	118	53719321	read	read	goodreads	5
119	1	119	53719321	read	read	goodreads	4
120	1	120	53719321	read	read	goodreads	4
121	1	121	53719321	read	read	goodreads	4
122	1	122	53719321	read	read	goodreads	4
123	1	123	53719321	read	read	goodreads	4
124	1	124	53719321	read	read	goodreads	1
125	1	125	53719321	read	read	goodreads	5
126	1	126	53719321	read	read	goodreads	2
127	1	127	53719321	read	read	goodreads	3
128	1	128	53719321	read	read	goodreads	4
129	1	129	53719321	read	read	goodreads	3
130	1	130	53719321	read	read	goodreads	5
